CN ID,Title,Agency,Publish Date,Category,Contract Start Date,Contract End Date,Value (AUD),ATM ID,Supplier Name,LastUpdated
CN3099102,Mobile phone services,Attorney-General's Department,29-May-15,Mobile phones,21-May-15,20-May-17,1320000,10007294,Telstra,29/05/2015 9:52
CN3283234,Lending Rights redevelopment Provision of a Web Based Lending Rights Online Sys,Attorney-General's Department,7-Aug-15,Computer Equipment and Accessories,3-Aug-15,31-Dec-15,989150.8,10006925,Fujitsu Australia Ltd,7/08/2015 10:01
CN3079722,Desktop refresh,Attorney-General's Department,22-May-15,Computer Equipment and Accessories,18-May-15,30-Jun-19,987063,10007226,Ethan Group Pty Ltd,22/05/2015 11:18
CN2951332,ICT Services MoU,Austrade,30-Mar-15,Components for information technology or broadcasting or telecommunications,5-Feb-15,30-Jun-17,780000,,Department of Foreign Affairs and Trade,30/03/2015 16:36
CN3017602,SWAPP2015 Purchase of Desktop Hardware and Services,Austrade,28-Apr-15,Computer Equipment and Accessories,13-Apr-15,12-Apr-18,2571305,,Ethan Group Pty Ltd,28/04/2015 15:00
CN3032162,Cisco servers and network equipment,Australian Bureau of Statistics,5-May-15,Computer servers,20-Jan-15,20-Jan-16,1513472.39,ABS2015.129,Dimension Data Aust Pty Ltd,5/05/2015 12:01
CN2918272,Anti virus software,Australian Bureau of Statistics,13-Mar-15,Software,28-Feb-15,27-Feb-18,999495.87,ABS2015.161,ASI Solutions,13/03/2015 11:48
CN3003332,Microsoft Lync software licences,Australian Bureau of Statistics,22-Apr-15,Software,10-Apr-15,30-Jun-15,916055.21,FIN11/AGIO11,Data#3 Ltd,22/04/2015 10:07
CN3039882,Acer Aspire R13 notebooks,Australian Bureau of Statistics,7-May-15,Notebook computers,1-Apr-15,30-Jun-15,1540110,FIN10/AGI001,Acer Computer Australia Pty Ltd,7/05/2015 15:52
CN3039942,Acer Inspire R13 laptops,Australian Bureau of Statistics,7-May-15,Notebook computers,1-Apr-15,30-Jun-15,1400850,FIN10/AGI001,Acer Computer Australia Pty Ltd,7/05/2015 15:56
CN3292023,Implementation of Stream 2 - Sharepoint Customer Relationship Module and Business System - Projects,Australian Centre for International Agricultural Research,11-Sep-15,Components for information technology or broadcasting or telecommunications,7-Sep-15,24-Dec-15,1110208,,StarTech IT Consulting Pty Ltd,11/09/2015 9:59
CN3287671-A1,Ongoing Spectrum Auction IT Capability,Australian Communications and Media Authority (ACMA),24-Aug-15,Software,21-Jul-15,31-Oct-18,1452000,14ACMA192,Power Auctions LLC,1/04/2016 11:29
CN2826122-A2,Project Holistic Engineering and Licensing Management (HELM) and SPECTRA,Australian Communications and Media Authority (ACMA),30-Jan-15,Software,27-Nov-14,26-Nov-19,7710293.15,14ACMA187,Rohde & Schwarz (Aust) Pty Ltd,29/03/2016 10:08
