suppliername,value
AAPT - 7079700,764288.8
ABB ENTERPRISE SOFTWARE PTY LTD,6588132.99
Accenture Australia Pty Ltd,26184702.05
Acer Computer Australia Pty Ltd,3550360
Acronym Integrated Technology Pty Ltd,1300000
ACRONYMIT PTY LTD,1573363
ACTIAN AUSTRALIA PTY LIMITED,562500
Adobe Systems Ireland Ltd,707125
ADOBE SYSTEMS SOFTWARE IRELAND,864072.7
ADVANCED RECORDS MANAGEMENT,661288.5
AGFA-GEVAERT LTD,740213.1
Ajilon Australia Pty Ltd,27731099.52
Altis Consulting,2259171.2
APHELION DATA,1982346.44
Apis Group Pty Limited,11876360.61
ASG Group Limited,23905425.2
ASI Solutions,999495.87
ATOS (AUSTRALIA) PTY LTD,1470068.9
Aurec Pty Ltd,1658800
AUSTRALIAN BROADCASTING CORP,900000
Australian Maritime Systems Limited,655816.5
Australian Private Networks Pty Ltd,11838400.4
AUTONOMIC SOFTWARE INC,1557726.99
AVEPOINT AU PTY LTD,536066.8
AVI PTY LTD,3075261.3
BAE SYSTEMS,16913598.9
BENELEC PTY LTD,27739871.63
BERKELEY INFORMATION TECHNOLOGY,815972.3
BOEING CO THE - KENT,575926.45
BOEING DEFENCE AUSTRALIA LTD,715764973.7
BROOKFIELD JOHNSON CONTROLS P/L,977453.4
CA (Pacific) Pty Ltd,2448857.16
CAE AUSTRALIA PTY LTD,1540000
Capgemini Australia Pty Ltd,14037100
Catapult BI Pty Ltd,4020016
CDM,1106522.55
Centre For Appropriate Technology,689271.56
Cisco System Australia Pty Ltd,3485284.3
Citrix Systems Asia Pacific Pty Ltd,3655744.09
CLOUDERA INC,1278774
COBS TELSTRA,7643984.75
CommsNet Group Pty Ltd,574783
Communications Design & Management Pty Ltd,647246.67
COMMVAULT SYSTEMS (AUSTRALIA),2148781.4
COMPUNETIX INC.,563758.46
COMPUTER ASSOCIATES PTY LTD,1306148.8
CONSUNET PTY LTD,893970
CRITERION SOLUTIONS PTY LTD,784790.17
CSC AUSTRALIA PTY LTD,36874950.27
CTO Group,832260
DAON (AUSTRALIA) PTY LTD,831109.4
DARONMONT TECHNOLOGIES PTY LTD,1835214.43
Data # 3 Limited,10803778.85
Datacom Systems (ACT) Pty Ltd,256403307.4
DataDirect Networks,2136559
DEFENSE FINANCE AND ACCOUNTING SERV,3836940.58
Dell Australia  Pty Ltd,20804872.06
DELOITTE TOUCHE TOHMATSU,7125228.71
DEPARTMENT OF DEFENSE,833443
DEPARTMENT OF FINANCE,35695049.7
